
 PRINT U    NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UY    
     236 -0.21905E-002
     233 -0.28071E-002
     230 -0.34968E-002
     227 -0.42441E-002
     224 -0.50556E-002
     221 -0.59207E-002
     218 -0.68425E-002
     215 -0.78135E-002
     212 -0.88346E-002
     209 -0.99003E-002
     206 -0.11010E-001
     203 -0.12160E-001
     200 -0.13349E-001
     197 -0.14573E-001
     194 -0.15831E-001
     191 -0.17120E-001
     188 -0.18438E-001
     185 -0.19783E-001
     182 -0.21154E-001
     179 -0.22548E-001
     176 -0.23963E-001
     173 -0.25398E-001
     170 -0.26851E-001
     167 -0.28319E-001
     164 -0.29803E-001
     161 -0.31300E-001
     158 -0.32809E-001
     155 -0.34328E-001
     152 -0.35857E-001
     149 -0.37394E-001
     146 -0.38938E-001
     143 -0.40487E-001
     140 -0.42042E-001
     137 -0.43602E-001
     134 -0.45164E-001
     131 -0.46730E-001
     128 -0.48297E-001
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UY    
     125 -0.49866E-001
     122 -0.51436E-001
     119 -0.53006E-001
     116 -0.54577E-001
     113 -0.56148E-001
     110 -0.57718E-001
     107 -0.59289E-001
     255 -0.47534E-004
     252 -0.21842E-003
      57 -0.12490E-003
     249 -0.44400E-003
     246 -0.77714E-003
      58 -0.25954E-003
     243 -0.11709E-002
     240 -0.16552E-002
      59 -0.50672E-003
     237 -0.22007E-002
     234 -0.28246E-002
      60 -0.81730E-003
     231 -0.35075E-002
     228 -0.42590E-002
     225 -0.50661E-002
      61 -0.12256E-002
     222 -0.59336E-002
     219 -0.68525E-002
     216 -0.78248E-002
      62 -0.16949E-002
     213 -0.88439E-002
     210 -0.99101E-002
     207 -0.11019E-001
      63 -0.22485E-002
     204 -0.12169E-001
     201 -0.13356E-001
     198 -0.14580E-001
     195 -0.15837E-001
      64 -0.28624E-002
     192 -0.17126E-001
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UY    
     189 -0.18444E-001
     186 -0.19789E-001
     183 -0.21159E-001
     180 -0.22553E-001
      65 -0.35497E-002
     177 -0.23968E-001
     174 -0.25402E-001
     171 -0.26854E-001
     168 -0.28323E-001
     165 -0.29806E-001
     162 -0.31303E-001
     159 -0.32812E-001
     156 -0.34331E-001
     153 -0.35859E-001
      66 -0.42944E-002
     150 -0.37396E-001
     147 -0.38939E-001
     144 -0.40489E-001
     141 -0.42044E-001
     138 -0.43603E-001
     135 -0.45165E-001
     132 -0.46730E-001
     129 -0.48298E-001
     126 -0.49867E-001
     123 -0.51436E-001
     120 -0.53007E-001
     117 -0.54578E-001
     114 -0.56148E-001
     111 -0.57719E-001
     106 -0.59289E-001
      67 -0.51035E-002
      68 -0.59663E-002
      69 -0.68858E-002
      70 -0.78545E-002
      71 -0.88735E-002
      72 -0.99370E-002
      73 -0.11045E-001
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    1.0000      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UY    
      74 -0.12193E-001
      75 -0.13379E-001
      76 -0.14601E-001
      77 -0.15858E-001
      78 -0.17145E-001
      79 -0.18462E-001
      80 -0.19805E-001
      81 -0.21174E-001
      82 -0.22567E-001
      83 -0.23981E-001
      84 -0.25414E-001
      85 -0.26865E-001
      86 -0.28333E-001
      87 -0.29815E-001
      88 -0.31311E-001
      89 -0.32819E-001
      90 -0.34337E-001
      91 -0.35865E-001
      92 -0.37401E-001
      93 -0.38944E-001
      94 -0.40493E-001
      95 -0.42047E-001
      96 -0.43606E-001
      97 -0.45168E-001
      98 -0.46733E-001
      99 -0.48300E-001
     100 -0.49868E-001
     101 -0.51438E-001
     102 -0.53008E-001
     103 -0.54578E-001
     104 -0.56149E-001
     105 -0.57719E-001
      56 -0.59290E-001

 MAXIMUM ABSOLUTE VALUES
 NODE         56
 VALUE  -0.59290E-001

